timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-07-01,76282.61480000,79291.86384000,70490.84000000,74672.00804000,10854.10000000,11282.28000000,10030.00000000,10624.93000000,90962.26827100,90962.26827100
2019-06-30,83655.19764000,85601.04000000,75663.65884000,76282.61480000,11903.13000000,12180.00000000,10766.03000000,10854.10000000,84512.53044300,84512.53044300
2019-06-29,87196.81768000,87439.14312000,80646.44056000,83655.19764000,12407.06000000,12441.54000000,11475.02000000,11903.13000000,69642.07415700,69642.07415700
2019-06-28,79627.16972000,87709.44000000,77187.68064000,87151.62764000,11329.99000000,12480.00000000,10982.88000000,12400.63000000,95795.20396400,95795.20396400
2019-06-27,92055.41464000,94723.66512000,73970.40280000,79627.16972000,13098.38000000,13478.04000000,10525.10000000,11329.99000000,173894.82088900,173894.82088900
2019-06-26,83079.95584000,98181.16000000,82515.74800000,92023.22640000,11821.28000000,13970.00000000,11741.00000000,13093.80000000,155930.14738600,155930.14738600
2019-06-25,77705.71452000,83281.80000000,77490.72800000,83077.00408000,11056.59000000,11850.00000000,11026.00000000,11820.86000000,61276.68664800,61276.68664800
2019-06-24,76647.01660000,78317.43164000,74642.98240000,77705.71452000,10905.95000000,11143.63000000,10620.80000000,11056.59000000,43101.04528500,43101.04528500
2019-06-23,75403.41200000,80067.47392000,74181.80504000,76647.85996000,10729.00000000,11392.64000000,10555.18000000,10906.07000000,57445.32394500,57445.32394500
2019-06-22,71403.49608000,78432.48000000,69729.84816000,75406.92600000,10159.86000000,11160.00000000,9921.72000000,10729.50000000,104169.44797600,104169.44797600
2019-06-21,66892.92568000,71509.82972000,66892.92568000,71403.49608000,9518.06000000,10174.99000000,9518.06000000,10159.86000000,50484.41589200,50484.41589200
2019-06-20,65035.42528000,67398.52000000,64483.30560000,66886.31936000,9253.76000000,9590.00000000,9175.20000000,9517.12000000,34556.05398200,34556.05398200
2019-06-19,63828.08516000,65388.51200000,62970.88000000,65047.58372000,9081.97000000,9304.00000000,8960.00000000,9255.49000000,32147.70649500,32147.70649500
2019-06-18,65445.64964000,65615.93808000,62900.60000000,63825.13340000,9312.13000000,9336.36000000,8950.00000000,9081.55000000,51554.56940100,51554.56940100
2019-06-17,62921.68400000,66372.43200000,62900.60000000,65458.51088000,8953.00000000,9444.00000000,8950.00000000,9313.96000000,47895.48537400,47895.48537400
2019-06-16,61922.09156000,65592.32400000,61565.28000000,62924.00324000,8810.77000000,9333.00000000,8760.00000000,8953.33000000,63289.25121900,63289.25121900
2019-06-15,60798.38464000,62303.14972000,60213.30364000,61907.54360000,8650.88000000,8864.99000000,8567.63000000,8808.70000000,31791.63603900,31791.63603900
2019-06-14,57745.14032000,61034.03348000,57238.28096000,60792.20000000,8216.44000000,8684.41000000,8144.32000000,8650.00000000,39835.24625500,39835.24625500
2019-06-13,57121.05392000,58401.41496000,56294.49084000,57759.89912000,8127.64000000,8309.82000000,8010.03000000,8218.54000000,30467.76434100,30467.76434100
2019-06-12,55415.07720000,57629.60000000,54741.02172000,57121.05392000,7884.90000000,8200.00000000,7788.99000000,8127.64000000,41597.08262200,41597.08262200
2019-06-11,56090.46800000,56294.28000000,54060.99244000,55415.07720000,7981.00000000,8010.00000000,7692.23000000,7884.90000000,30334.99942700,30334.99942700
2019-06-10,53606.56196000,56364.56000000,52787.30800000,56102.76700000,7627.57000000,8020.00000000,7511.00000000,7982.75000000,36756.07846800,36756.07846800
2019-06-09,55488.02784000,55767.18000000,52756.80648000,53610.49764000,7895.28000000,7935.00000000,7506.66000000,7628.13000000,31568.46515700,31568.46515700
2019-06-08,56075.99032000,56537.80020000,54474.02800000,55476.36136000,7978.94000000,8044.65000000,7751.00000000,7893.62000000,22657.32963400,22657.32963400
